"Position (m) Run #1","Magnetic Field Strength (1X) (G) Run #1"
0.0000,-2
0.0000,-2
0.0000,-2
0.0000,-2
0.0000,-2
0.0000,-2
0.0000,-2
0.0000,-2
-2.6250E-4,-2
-0.0022,-2
-0.0060,-2
-0.0104,-2
-0.0144,-2
-0.0184,-2
-0.0228,-2
-0.0280,-1
-0.0340,-1
-0.0401,-1
-0.0456,-1
-0.0503,0
-0.0542,0
-0.0576,0
-0.0608,0
-0.0637,1
-0.0664,1
-0.0692,1
-0.0721,1
-0.0752,2
-0.0786,2
-0.0822,3
-0.0858,3
-0.0900,4
-0.0950,5
-0.1010,7
-0.1076,9
-0.1142,11
-0.1207,13
-0.1267,15
-0.1317,16
-0.1360,18
-0.1402,19
-0.1443,20
-0.1477,20
-0.1508,20
-0.1534,21
-0.1559,21
-0.1588,20
-0.1626,20
-0.1673,18
-0.1728,16
-0.1786,14
-0.1844,11
-0.1897,8
-0.1944,6
-0.1986,4
-0.2022,1
-0.2061,-1
-0.2099,-3
-0.2139,-5
-0.2181,-7
-0.2226,-10
-0.2269,-12
-0.2311,-14
-0.2355,-17
-0.2403,-19
-0.2452,-22
-0.2502,-24
-0.2548,-25
-0.2587,-26
-0.2620,-27
-0.2647,-27
-0.2670,-27
-0.2693,-27
-0.2720,-27
-0.2749,-27
-0.2780,-26
-0.2812,-26
-0.2847,-25
-0.2883,-23
-0.2922,-22
-0.2962,-21
-0.3000,-20
-0.3040,-18
-0.3086,-17
-0.3137,-15
-0.3190,-14
-0.3239,-12
-0.3281,-12
-0.3317,-11
-0.3351,-10
-0.3381,-10
-0.3408,-9
-0.3436,-9
-0.3460,-9
-0.3492,-8
-0.3525,-8
-0.3561,-7
-0.3596,-7
-0.3630,-7
-0.3663,-7
-0.3692,-6
-0.3720,-6
-0.3751,-6
-0.3787,-6
-0.3825,-6
-0.3863,-5
-0.3902,-5
-0.3940,-5
-0.3976,-5
-0.4005,-5
-0.4027,-5
-0.4037,-5
-0.4047,-5
-0.4052,-5
-0.4054,-5
-0.4057,-5
-0.4062,-5
-0.4070,-5
-0.4074,-5
-0.4074,-5
-0.4075,-5
-0.4075,-5
-0.4074,-5
-0.4074,-5
-0.4074,-5
-0.4074,-5
-0.4074,-5
-0.4074,-5
-0.4074,-5
