"Position (m) Run #1","Magnetic Field Strength (1X) (G) Run #1"
0.0000,0
-3.3750E-4,0
-0.0013,0
-0.0027,0
-0.0052,0
-0.0088,0
-0.0128,0
-0.0169,0
-0.0209,0
-0.0246,0
-0.0288,0
-0.0328,1
-0.0366,1
-0.0402,1
-0.0440,1
-0.0483,2
-0.0524,2
-0.0556,2
-0.0579,3
-0.0605,3
-0.0634,3
-0.0667,4
-0.0702,4
-0.0741,5
-0.0787,6
-0.0840,7
-0.0894,8
-0.0945,10
-0.0996,11
-0.1052,13
-0.1110,14
-0.1162,16
-0.1203,16
-0.1234,17
-0.1263,17
-0.1293,17
-0.1324,17
-0.1351,17
-0.1377,17
-0.1402,17
-0.1430,16
-0.1463,14
-0.1502,13
-0.1548,10
-0.1601,6
-0.1656,3
-0.1710,-1
-0.1760,-5
-0.1803,-8
-0.1840,-10
-0.1872,-12
-0.1901,-14
-0.1926,-15
-0.1953,-16
-0.1980,-18
-0.2006,-19
-0.2026,-19
-0.2050,-20
-0.2071,-20
-0.2089,-20
-0.2105,-21
-0.2124,-21
-0.2148,-21
-0.2176,-20
-0.2208,-20
-0.2244,-19
-0.2284,-18
-0.2326,-17
-0.2368,-16
-0.2406,-15
-0.2437,-14
-0.2466,-14
-0.2491,-13
-0.2515,-12
-0.2539,-12
-0.2565,-11
-0.2593,-10
-0.2623,-10
-0.2655,-9
-0.2688,-8
-0.2722,-8
-0.2757,-7
-0.2787,-7
-0.2811,-7
-0.2833,-6
-0.2859,-6
-0.2886,-6
-0.2919,-5
-0.2957,-5
-0.2999,-5
-0.3044,-4
-0.3085,-4
-0.3122,-4
-0.3156,-4
-0.3185,-4
-0.3210,-4
-0.3231,-3
-0.3252,-3
-0.3274,-3
-0.3295,-3
-0.3316,-3
-0.3334,-3
-0.3351,-3
-0.3368,-3
-0.3388,-3
-0.3409,-3
-0.3431,-3
-0.3452,-3
-0.3468,-3
-0.3473,-3
-0.3474,-3
-0.3474,-3
-0.3474,-3
-0.3474,-3
-0.3474,
