"Position (m) Run #1","Magnetic Field Strength (1X) (G) Run #1"
-7.5000E-5,0
-7.5000E-5,0
-1.1250E-4,0
-1.8750E-4,0
-9.7500E-4,0
-0.0023,0
-0.0042,0
-0.0071,0
-0.0098,0
-0.0125,0
-0.0156,0
-0.0187,0
-0.0221,0
-0.0259,0
-0.0295,0
-0.0334,0
-0.0368,1
-0.0400,1
-0.0431,1
-0.0460,1
-0.0487,1
-0.0515,1
-0.0542,1
-0.0568,1
-0.0596,2
-0.0626,2
-0.0658,2
-0.0687,2
-0.0711,3
-0.0735,3
-0.0755,3
-0.0779,3
-0.0815,4
-0.0862,4
-0.0923,5
-0.0996,7
-0.1068,8
-0.1133,9
-0.1183,10
-0.1233,10
-0.1275,11
-0.1312,11
-0.1345,11
-0.1377,11
-0.1407,11
-0.1437,10
-0.1467,10
-0.1495,9
-0.1530,7
-0.1566,6
-0.1598,4
-0.1638,1
-0.1677,-1
-0.1725,-4
-0.1770,-6
-0.1809,-8
-0.1843,-9
-0.1871,-10
-0.1894,-11
-0.1916,-12
-0.1946,-12
-0.1987,-13
-0.2035,-13
-0.2084,-12
-0.2133,-12
-0.2180,-11
-0.2217,-11
-0.2247,-10
-0.2277,-9
-0.2311,-9
-0.2355,-8
-0.2401,-7
-0.2444,-7
-0.2485,-6
-0.2522,-6
-0.2556,-5
-0.2593,-5
-0.2630,-4
-0.2660,-4
-0.2694,-4
-0.2728,-4
-0.2758,-3
-0.2786,-3
-0.2811,-3
-0.2835,-3
-0.2857,-3
-0.2877,-3
-0.2896,-3
-0.2918,-3
-0.2940,-2
-0.2964,-2
-0.2991,-2
-0.3019,-2
-0.3049,-2
-0.3081,-2
-0.3113,-2
-0.3143,-2
-0.3168,-2
-0.3190,-2
-0.3211,-2
-0.3230,-2
-0.3249,-2
-0.3268,-2
-0.3286,-2
-0.3304,-2
-0.3321,-2
-0.3339,-1
-0.3358,-1
-0.3373,-1
-0.3386,-1
-0.3398,-1
-0.3410,-1
-0.3421,-1
-0.3432,-1
-0.3445,-1
-0.3460,-1
-0.3475,-1
-0.3488,-1
-0.3498,-1
-0.3501,-1
-0.3501,-1
-0.3501,-1
