"Position (m) Run #1","Magnetic Field Strength (1X) (G) Run #1","Position (m) Run #2","Magnetic Field Strength (1X) (G) Run #2","Position (m) Run #3","Magnetic Field Strength (1X) (G) Run #3"
0.0000,1,-7.5000E-5,1,0.0000,0
0.0000,,-1.5000E-4,,0.0000,
0.0000,1,-3.3750E-4,1,-7.5000E-5,0
0.0000,,-6.0000E-4,,-3.0000E-4,
0.0000,1,-9.7500E-4,1,-6.3750E-4,0
0.0000,,-0.0015,,-9.7500E-4,
0.0000,1,-0.0022,1,-0.0014,0
0.0000,,-0.0030,,-0.0019,
0.0000,1,-0.0038,1,-0.0025,1
0.0000,,-0.0047,,-0.0030,
0.0000,1,-0.0055,1,-0.0035,1
0.0000,,-0.0064,,-0.0040,
0.0000,1,-0.0073,1,-0.0045,1
0.0000,,-0.0082,,-0.0051,
0.0000,1,-0.0092,1,-0.0057,1
0.0000,,-0.0102,,-0.0064,
-3.7500E-5,1,-0.0112,1,-0.0072,1
-2.6250E-4,,-0.0122,,-0.0080,
-6.0000E-4,1,-0.0131,1,-0.0088,1
-8.2500E-4,,-0.0138,,-0.0096,
-0.0010,1,-0.0146,1,-0.0102,1
-0.0010,,-0.0154,,-0.0109,
-0.0012,1,-0.0161,1,-0.0115,1
-0.0015,,-0.0169,,-0.0122,
-0.0022,1,-0.0177,1,-0.0129,1
-0.0033,,-0.0185,,-0.0137,
-0.0046,1,-0.0193,1,-0.0145,1
-0.0062,,-0.0202,,-0.0154,
-0.0079,1,-0.0210,1,-0.0164,1
-0.0095,,-0.0219,,-0.0175,
-0.0110,1,-0.0228,1,-0.0186,1
-0.0123,,-0.0237,,-0.0199,
-0.0135,1,-0.0246,1,-0.0213,1
-0.0145,,-0.0255,,-0.0227,
-0.0154,1,-0.0263,1,-0.0242,1
-0.0162,,-0.0270,,-0.0256,
-0.0172,1,-0.0278,1,-0.0271,1
-0.0183,,-0.0285,,-0.0285,
-0.0195,1,-0.0293,1,-0.0298,1
-0.0209,,-0.0302,,-0.0312,
-0.0225,1,-0.0313,1,-0.0327,1
-0.0241,,-0.0326,,-0.0341,
-0.0258,1,-0.0341,1,-0.0354,1
-0.0276,,-0.0355,,-0.0367,
-0.0294,2,-0.0370,2,-0.0379,1
-0.0311,,-0.0384,,-0.0390,
-0.0330,2,-0.0397,2,-0.0399,2
-0.0348,,-0.0408,,-0.0408,
-0.0365,2,-0.0418,2,-0.0417,2
-0.0382,,-0.0428,,-0.0428,
-0.0399,2,-0.0438,2,-0.0440,2
-0.0415,,-0.0449,,-0.0454,
-0.0431,2,-0.0459,2,-0.0469,2
-0.0447,,-0.0471,,-0.0486,
-0.0461,2,-0.0482,2,-0.0503,2
-0.0475,,-0.0493,,-0.0521,
-0.0489,2,-0.0504,2,-0.0538,2
-0.0502,,-0.0516,,-0.0554,
-0.0515,2,-0.0527,2,-0.0568,2
-0.0528,,-0.0537,,-0.0581,
-0.0539,3,-0.0546,2,-0.0594,3
-0.0549,,-0.0556,,-0.0607,
-0.0558,3,-0.0566,3,-0.0622,3
-0.0565,,-0.0576,,-0.0639,
-0.0570,3,-0.0587,3,-0.0657,3
-0.0576,,-0.0595,,-0.0675,
-0.0581,3,-0.0603,3,-0.0694,3
-0.0588,,-0.0612,,-0.0714,
-0.0595,3,-0.0622,3,-0.0733,4
-0.0602,,-0.0632,,-0.0751,
-0.0610,3,-0.0645,3,-0.0770,4
-0.0618,,-0.0660,,-0.0792,
-0.0626,3,-0.0674,3,-0.0814,5
-0.0633,,-0.0690,,-0.0836,
-0.0642,3,-0.0706,4,-0.0858,5
-0.0650,,-0.0722,,-0.0878,
-0.0657,3,-0.0738,4,-0.0897,6
