"Position (m) Run #1","Magnetic Field Strength (1X) (G) Run #1"
0.0000,-1
0.0000,-1
0.0000,-1
0.0000,-1
0.0000,-1
0.0000,-1
0.0000,-1
-1.1250E-4,-1
-6.3750E-4,-1
-0.0024,-1
-0.0056,-1
-0.0083,-1
-0.0094,-1
-0.0106,-1
-0.0131,-1
-0.0173,0
-0.0228,0
-0.0295,0
-0.0370,0
-0.0445,1
-0.0513,1
-0.0572,2
-0.0619,2
-0.0664,3
-0.0709,4
-0.0748,4
-0.0787,5
-0.0817,5
-0.0844,6
-0.0874,6
-0.0902,7
-0.0937,8
-0.0982,9
-0.1030,11
-0.1085,13
-0.1140,14
-0.1190,16
-0.1239,18
-0.1281,20
-0.1318,21
-0.1352,23
-0.1384,24
-0.1415,25
-0.1449,26
-0.1482,27
-0.1514,27
-0.1544,28
-0.1574,28
-0.1609,28
-0.1652,28
-0.1701,27
-0.1757,26
-0.1814,24
-0.1866,23
-0.1914,22
-0.1956,22
-0.1994,21
-0.2028,21
-0.2060,21
-0.2086,21
-0.2118,21
-0.2154,21
-0.2191,21
-0.2227,21
-0.2258,22
-0.2289,23
-0.2323,23
-0.2362,24
-0.2407,25
-0.2457,26
-0.2506,27
-0.2553,28
-0.2594,28
-0.2630,28
-0.2663,28
-0.2695,27
-0.2728,26
-0.2764,25
-0.2802,24
-0.2841,23
-0.2880,21
-0.2918,20
-0.2957,18
-0.2994,17
-0.3033,15
-0.3077,13
-0.3125,12
-0.3174,10
-0.3222,9
-0.3265,8
-0.3300,7
-0.3327,7
-0.3350,6
-0.3371,6
-0.3390,5
-0.3414,5
-0.3441,4
-0.3470,4
-0.3499,3
-0.3525,3
-0.3552,3
-0.3572,3
-0.3598,2
-0.3623,2
-0.3648,2
-0.3670,2
-0.3691,1
-0.3712,1
-0.3736,1
-0.3764,1
-0.3795,1
-0.3829,0
-0.3861,0
-0.3890,0
-0.3911,0
-0.3929,0
-0.3947,0
-0.3951,0
-0.3951,0
-0.3951,0
-0.3951,0
-0.3951,0
-0.3951,0
