"Position (m) Run #1","Magnetic Field Strength (1X) (G) Run #1"
0.0000,1
0.0000,1
0.0000,1
0.0000,1
-1.1250E-4,1
-0.0013,1
-0.0037,1
-0.0067,2
-0.0101,2
-0.0141,2
-0.0188,2
-0.0235,3
-0.0281,3
-0.0328,4
-0.0377,4
-0.0425,5
-0.0470,5
-0.0515,6
-0.0562,7
-0.0611,7
-0.0658,9
-0.0709,10
-0.0776,12
-0.0848,14
-0.0917,17
-0.0978,19
-0.1032,22
-0.1074,23
-0.1109,25
-0.1140,26
-0.1168,28
-0.1196,29
-0.1228,30
-0.1266,32
-0.1305,33
-0.1342,34
-0.1374,35
-0.1404,35
-0.1436,36
-0.1471,36
-0.1512,37
-0.1560,37
-0.1615,37
-0.1671,37
-0.1724,37
-0.1774,37
-0.1824,37
-0.1875,37
-0.1926,36
-0.1977,36
-0.2027,35
-0.2075,33
-0.2120,32
-0.2161,30
-0.2215,27
-0.2276,24
-0.2342,21
-0.2407,18
-0.2468,16
-0.2521,14
-0.2567,13
-0.2608,12
-0.2644,11
-0.2680,10
-0.2720,9
-0.2764,8
-0.2807,7
-0.2852,6
-0.2899,5
-0.2947,5
-0.3000,4
-0.3053,3
-0.3103,3
-0.3145,3
-0.3182,3
-0.3213,2
-0.3240,2
-0.3266,2
-0.3291,2
-0.3317,2
-0.3344,2
-0.3373,1
-0.3402,1
-0.3429,1
-0.3454,1
-0.3475,1
-0.3491,1
-0.3501,1
-0.3500,1
-0.3500,1
-0.3499,1
-0.3499,1
-0.3499,
