"Position (m) Run #1","Magnetic Field Strength (1X) (G) Run #1"
0.0000,2
0.0000,2
0.0000,2
0.0000,2
0.0000,2
-1.8750E-4,2
-0.0013,2
-0.0030,2
-0.0054,2
-0.0081,2
-0.0109,3
-0.0139,3
-0.0168,3
-0.0198,3
-0.0232,3
-0.0269,4
-0.0307,4
-0.0343,4
-0.0378,5
-0.0416,5
-0.0457,5
-0.0500,6
-0.0540,6
-0.0578,7
-0.0615,8
-0.0655,8
-0.0698,9
-0.0743,10
-0.0790,12
-0.0840,13
-0.0895,15
-0.0958,18
-0.1021,20
-0.1082,24
-0.1142,27
-0.1200,30
-0.1258,34
-0.1315,37
-0.1365,40
-0.1420,43
-0.1473,45
-0.1521,46
-0.1569,47
-0.1622,48
-0.1679,48
-0.1739,47
-0.1799,45
-0.1858,43
-0.1917,40
-0.1976,37
-0.2035,34
-0.2092,30
-0.2147,27
-0.2200,24
-0.2254,21
-0.2310,19
-0.2369,16
-0.2431,14
-0.2497,12
-0.2561,10
-0.2620,9
-0.2676,8
-0.2730,7
-0.2781,6
-0.2820,6
-0.2860,5
-0.2894,5
-0.2927,5
-0.2964,4
-0.3002,4
-0.3045,4
-0.3093,3
-0.3143,3
-0.3190,3
-0.3231,2
-0.3270,2
-0.3305,2
-0.3336,2
-0.3369,2
-0.3404,2
-0.3436,2
-0.3468,2
-0.3500,2
-0.3527,1
-0.3537,1
-0.3537,1
-0.3537,1
-0.3537,1
-0.3537,
