"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.480220840E-2,-3.773193359E-1,1.267244911E1,-5.031051636E1,5.188334408E1
2.484620840E-2,-3.592529297E-1,1.263731575E1,-5.022587585E1,5.179256141E1
3.489020839E-2,-3.665161133E-1,1.259654140E1,-5.024102783E1,5.179737510E1
4.493520840E-2,-4.350280762E-1,1.272785759E1,-5.050886536E1,5.208966393E1
5.497920839E-2,-3.965454102E-1,1.265601635E1,-5.032231140E1,5.189091465E1
6.502320839E-2,-4.473571777E-1,1.261922836E1,-5.029348755E1,5.185441102E1
7.506820839E-2,-2.954406738E-1,1.278277016E1,-5.048930359E1,5.208316691E1
8.511220838E-2,-4.780273438E-1,1.284852791E1,-5.019786072E1,5.181832109E1
9.515720839E-2,-3.954467773E-1,1.281872177E1,-5.035043335E1,5.195808065E1
1.052012084E-1,-4.630432129E-1,1.278597260E1,-5.027487183E1,5.187733842E1
1.152452084E-1,-3.723144531E-1,1.278122520E1,-5.015403748E1,5.175834050E1
1.252902084E-1,-4.512634277E-1,1.274300003E1,-5.037915039E1,5.196774464E1
1.353342084E-1,-3.273620605E-1,1.274015522E1,-5.046965027E1,5.205385979E1
1.453782084E-1,-3.554992676E-1,1.267654610E1,-5.049127197E1,5.205948277E1
1.554232084E-1,-4.731445312E-1,1.266467476E1,-5.028453064E1,5.185703302E1
1.654672084E-1,-5.238952637E-1,1.275192070E1,-5.019804382E1,5.179507266E1
1.755112084E-1,-5.208740234E-1,1.279711056E1,-5.039541626E1,5.199745502E1
1.855562084E-1,-5.111694336E-1,1.269996071E1,-5.047805786E1,5.205367059E1
1.956002084E-1,-5.111694336E-1,1.269996071E1,-5.047805786E1,5.205367059E1
2.056442084E-1,-5.203247070E-1,1.276208401E1,-5.037480164E1,5.196885765E1
2.156892084E-1,-4.577636719E-1,1.286831474E1,-5.040304565E1,5.202182314E1
2.257332084E-1,-4.494323730E-1,1.278070068E1,-5.037225342E1,5.197030127E1
2.357772083E-1,-5.061950684E-1,1.274601650E1,-5.034342957E1,5.193436310E1
2.458222084E-1,-6.119995117E-1,1.292125797E1,-5.034648132E1,5.198174326E1
2.558662083E-1,-6.155395508E-1,1.287939548E1,-5.037490845E1,5.199893382E1
2.659102083E-1,-4.635314941E-1,1.296852016E1,-5.020422363E1,5.185423268E1
2.759552083E-1,-4.478454590E-1,1.288463783E1,-5.031382751E1,5.193934633E1
2.859992083E-1,-3.653869629E-1,1.297319889E1,-5.051174927E1,5.215241328E1
2.960432083E-1,-5.207519531E-1,1.270084572E1,-5.037530518E1,5.195434569E1
3.060882083E-1,-4.409179688E-1,1.280453682E1,-5.017262268E1,5.178264804E1
3.161322083E-1,-4.472656250E-1,1.288414192E1,-5.018479919E1,5.181423771E1
3.261772083E-1,-5.062255859E-1,1.279150295E1,-5.021597290E1,5.182202955E1
3.362212083E-1,-6.395263672E-1,1.281930256E1,-5.008538818E1,5.170386467E1
3.462652083E-1,-5.996398926E-1,1.283956051E1,-5.000425720E1,5.162983266E1
3.563102083E-1,-4.554443359E-1,1.291416264E1,-5.014469910E1,5.178294964E1
3.663542083E-1,-3.580322266E-1,1.282480526E1,-5.028309631E1,5.189406124E1
3.763982083E-1,-5.238037109E-1,1.283304882E1,-5.013816833E1,5.175710035E1
3.864432083E-1,-5.108032227E-1,1.288735676E1,-5.014036560E1,5.177259069E1
3.964872084E-1,-5.000915527E-1,1.282698250E1,-5.047990417E1,5.208648862E1
4.065312084E-1,-5.491333008E-1,1.282025719E1,-5.043319702E1,5.204006056E1
4.165762084E-1,-4.895935059E-1,1.265366459E1,-5.031770325E1,5.188666678E1
4.266202084E-1,-6.286315918E-1,1.250479698E1,-5.025779724E1,5.179393120E1
4.366642084E-1,-6.664733887E-1,1.269363976E1,-5.010890198E1,5.169598374E1
4.467098333E-1,-5.949401855E-1,1.261715794E1,-5.021681213E1,5.178102789E1
4.567538333E-1,-6.040954590E-1,1.272452736E1,-5.032629395E1,5.191352801E1
4.667978333E-1,-5.843505859E-1,1.266679668E1,-5.031115723E1,5.188450390E1
4.768428333E-1,-5.642700195E-1,1.261509609E1,-5.022218323E1,5.178539117E1
4.868868333E-1,-6.169128418E-1,1.277268028E1,-5.038931274E1,5.198658271E1
4.969308333E-1,-6.870727539E-1,1.276786232E1,-5.041954041E1,5.201557874E1
5.069758333E-1,-5.511474609E-1,1.258961964E1,-5.028285217E1,5.183789645E1
5.170198333E-1,-5.879211426E-1,1.266622448E1,-5.033544922E1,5.190796029E1
5.270638334E-1,-6.453247070E-1,1.264517117E1,-5.041755676E1,5.198313984E1
5.371088333E-1,-5.766296387E-1,1.277925301E1,-5.041600037E1,5.201360305E1
5.471528334E-1,-6.288146973E-1,1.270370197E1,-5.047468567E1,5.205260171E1
5.571968334E-1,-6.206054688E-1,1.254997444E1,-5.051567078E1,5.205497098E1
5.672418334E-1,-6.227416992E-1,1.265789986E1,-5.048205566E1,5.204851756E1
5.772858334E-1,-5.710754395E-1,1.266445923E1,-5.047874451E1,5.204630920E1
5.873298334E-1,-4.774169922E-1,1.264678669E1,-5.068927002E1,5.224529869E1
5.973748334E-1,-4.611816406E-1,1.264809895E1,-5.047735596E1,5.203989393E1
6.074188334E-1,-4.239807129E-1,1.264441109E1,-5.032142639E1,5.188744401E1
6.174628334E-1,-3.509521484E-1,1.275761986E1,-5.046253967E1,5.205139712E1
6.275078334E-1,-3.318786621E-1,1.258407307E1,-5.045983887E1,5.200638785E1
6.375518334E-1,-2.964782715E-1,1.261822033E1,-5.025852966E1,5.181917780E1
6.475958334E-1,-4.291381836E-1,1.259477615E1,-5.022192383E1,5.177889704E1
6.576408334E-1,-5.124816895E-1,1.253989887E1,-5.028808594E1,5.183052468E1
6.676848334E-1,-4.745483398E-1,1.262469673E1,-5.022389221E1,5.178848822E1
6.777288334E-1,-4.230651855E-1,1.252823067E1,-5.025909424E1,5.179876544E1
6.877738334E-1,-5.122985840E-1,1.258328915E1,-5.032032776E1,5.187231440E1
6.978178334E-1,-5.451354980E-1,1.250465679E1,-5.034091187E1,5.187360621E1
7.078618334E-1,-6.235046387E-1,1.255697536E1,-5.044689941E1,5.198996104E1
7.179068334E-1,-6.097717285E-1,1.250928402E1,-5.036126709E1,5.189519468E1
7.279508334E-1,-4.806518555E-1,1.260636616E1,-5.030314636E1,5.186094897E1
7.379948334E-1,-5.236816406E-1,1.257807350E1,-5.046444702E1,5.201098527E1
7.480398334E-1,-4.400634766E-1,1.254500198E1,-5.032048035E1,5.186252475E1
7.580838334E-1,-3.786315918E-1,1.254682255E1,-5.025173950E1,5.179578594E1
7.681278334E-1,-4.044494629E-1,1.253066063E1,-5.022052002E1,5.176177804E1
