t,T_h,T_c,T_1,T_2,T_3,T_4,p_c,p_h,P
0,23.2,23,23.6,23.3,23.1,23.4,4.6,4.5,109
2,25.2,22,23.4,28.9,26.9,12.9,3.5,6.3,110
4,27.9,19.9,22.2,32.5,27.6,12.2,3.5,6.7,110
6,30.5,17.6,20.3,36.3,30,12.2,3.5,7.4,110
8,33.1,15.5,13.5,39.4,31.8,11.4,3.1,8,103
10,35.8,13.6,11.6,41.3,33.4,8.8,2.9,8.5,103
12,38,11.8,12.2,43.2,35.3,7.3,2.7,9,103
14,40,10,10.3,45.1,37.2,6.5,2.5,9.5,102
16,41.7,8.5,10.6,46.6,38.9,5.8,2.5,10,102
18,43.2,7.2,10.2,48.1,40.1,4.4,2.4,10.3,102
20,44.6,6,8.2,49.7,41.2,3.6,2.3,10.8,102
22,45.8,4.9,8.2,51.2,42.4,3,2.2,11.1,102
24,46.7,3.9,8.7,52.5,43.4,2.2,2.1,11.4,102
